date,open,high,low,close,volume
2025-05-16,64.2,64.82,63.76,64.35,9995915.0
2025-05-19,64.02,64.91,63.83,64.68,8815900.0
2025-05-20,64.7,64.97,64.31,64.63,6640910.0
2025-05-21,64.62,64.95,64.32,64.39,5920790.0
2025-05-22,64.09,65.45,64.06,64.57,10584219.0
2025-05-23,64.5,64.73,63.03,63.08,10330650.0
2025-05-26,63.31,64.5,63.1,64.46,9283753.0
2025-05-27,64.42,65.07,63.89,64.15,6780534.0
2025-05-28,64.21,64.41,63.22,63.4,6064568.0
2025-05-29,63.76,64.5,63.5,64.0,11271354.0
2025-05-30,63.97,64.25,63.0,63.97,8909869.0
2025-06-03,63.4,64.44,63.17,64.24,8053797.0
2025-06-04,64.2,64.5,64.04,64.25,6766858.0
2025-06-05,64.5,65.1,64.06,64.84,10403368.0
2025-06-06,65.01,65.73,64.38,64.45,8743631.0
2025-06-09,64.45,64.85,64.23,64.54,7562680.0
2025-06-10,64.54,64.54,62.84,63.19,13617796.0
2025-06-11,63.2,63.65,63.11,63.19,6915152.0
2025-06-12,63.0,63.2,62.84,62.91,6482748.0
2025-06-13,62.93,62.99,61.89,61.97,9396704.0
2025-06-16,61.99,62.93,61.95,62.67,7154756.0
2025-06-17,62.6,62.7,62.07,62.52,5556408.0
2025-06-18,62.45,63.08,62.33,62.9,7123225.0
2025-06-19,62.9,63.04,61.95,62.17,8470215.0
2025-06-20,62.13,62.46,61.76,61.9,5073509.0
2025-06-23,61.66,62.96,61.52,62.65,8109240.0
2025-06-24,62.65,63.33,62.52,63.25,12862880.0
2025-06-25,63.16,65.33,63.06,64.5,19168954.0
2025-06-26,64.4,64.55,63.69,63.69,11886776.0
2025-06-27,64.09,64.53,63.65,63.87,11909167.0
2025-06-30,64.1,66.42,64.1,65.86,23581192.0
2025-07-01,65.6,66.2,65.15,65.52,13190580.0
2025-07-02,65.33,65.33,64.55,64.91,9518944.0
2025-07-03,64.71,65.2,64.5,64.78,7760159.0
2025-07-04,64.85,65.28,64.4,64.73,9122105.0
2025-07-07,64.72,64.95,64.01,64.24,7216011.0
2025-07-08,64.24,65.6,64.24,65.5,12999837.0
2025-07-09,65.23,65.72,65.08,65.19,7678479.0
2025-07-10,65.18,66.08,65.0,65.82,11715461.0
2025-07-11,65.82,66.42,65.44,66.11,11623032.0
2025-07-14,66.02,66.79,65.9,66.62,11206624.0
2025-07-15,66.49,67.25,65.7,66.09,11803035.0
2025-07-16,66.1,67.79,66.0,66.37,13218576.0
2025-07-17,66.25,67.97,65.89,67.9,17876349.0
2025-07-18,67.91,68.19,67.22,67.65,10749101.0
2025-07-21,67.33,68.0,67.23,67.57,8875228.0
2025-07-22,67.56,67.83,66.7,67.26,10816417.0
2025-07-23,66.91,68.24,66.84,67.4,13297743.0
2025-07-24,67.4,68.5,67.26,67.98,11421559.0
2025-07-25,68.0,68.59,67.6,68.49,12159741.0
2025-07-28,68.69,69.25,68.22,68.48,11158222.0
2025-07-29,68.3,73.5,68.18,73.2,51678514.0
2025-07-30,73.01,73.09,70.92,71.58,27483236.0
2025-07-31,70.68,71.6,69.28,69.54,22150157.0
2025-08-01,69.55,73.57,69.54,72.12,38265253.0
2025-08-04,71.64,74.0,71.61,73.98,29072976.0
2025-08-05,73.33,75.49,73.2,73.98,33361518.0
2025-08-06,74.82,78.0,74.11,76.9,41792341.0
2025-08-07,77.51,78.47,76.27,76.7,39978171.0
2025-08-08,76.69,77.6,75.62,76.2,25862527.0
2025-08-11,76.22,76.23,74.91,75.07,25336319.0
2025-08-12,75.1,75.97,73.58,74.59,25745883.0
2025-08-13,74.79,75.67,74.38,75.25,23213490.0
2025-08-14,74.92,76.2,73.44,73.57,27852714.0
2025-08-15,73.45,77.98,73.41,77.42,35929544.0
2025-08-18,78.0,83.19,77.78,80.84,41745201.0
2025-08-19,83.0,86.77,81.97,82.2,59163196.0
2025-08-20,82.04,82.2,79.11,81.86,34664632.0
2025-08-21,82.02,83.88,80.12,80.45,30965205.0
2025-08-22,80.7,84.48,80.7,82.68,44526442.0
2025-08-25,83.68,84.5,80.21,81.89,54726807.0
2025-08-26,81.0,81.9,80.02,81.13,28203887.0
2025-08-27,81.12,86.0,80.8,81.93,65292539.0
2025-08-28,82.01,83.78,80.8,83.52,53913438.0
2025-08-29,83.0,83.0,80.61,81.57,36762649.0
2025-09-01,82.25,83.66,80.88,82.21,34338772.0
2025-09-02,81.87,82.09,77.06,77.55,43371527.0
2025-09-03,77.88,79.25,75.38,75.85,30139738.0
2025-09-04,76.0,77.28,71.85,72.98,33975586.0
2025-09-05,73.0,74.76,72.01,74.61,22960697.0
2025-09-08,74.78,75.39,74.0,75.12,17108574.0
2025-09-09,74.77,74.77,73.24,73.7,15584224.0
2025-09-10,74.91,76.85,74.68,75.38,26754752.0
2025-09-11,75.0,77.68,74.21,77.6,28849608.0
2025-09-12,77.6,79.21,77.01,78.33,28016627.0
2025-09-15,80.0,80.68,78.38,78.64,27581951.0
2025-09-16,78.0,79.22,77.72,78.43,18988890.0
2025-09-17,78.0,78.89,76.93,77.67,21234247.0
2025-09-18,77.67,81.49,77.61,78.66,42449997.0
2025-09-19,78.66,81.3,78.66,79.45,31567226.0
2025-09-22,79.25,80.8,78.9,80.18,21798876.0
2025-09-23,80.07,80.18,77.46,79.26,25247676.0
2025-09-24,78.78,82.0,78.41,81.79,41042923.0
2025-09-25,81.16,85.32,80.81,84.0,43818246.0
2025-09-26,86.0,92.4,86.0,89.0,85167386.0
2025-09-29,87.52,88.79,85.29,87.4,48348969.0
2025-09-30,88.1,91.5,88.1,90.31,45453023.0
2025-10-09,91.8,94.83,89.58,92.78,52131432.0
2025-10-10,90.89,91.42,86.08,86.24,39747456.0
2025-10-13,82.62,88.45,82.6,88.22,33855541.0
2025-10-14,91.26,91.55,83.18,83.89,42541763.0
2025-10-15,83.93,86.45,82.82,85.53,24503513.0
2025-10-16,85.0,87.25,83.68,84.21,28270978.0
2025-10-17,84.11,84.3,79.23,79.44,29255610.0
2025-10-20,80.8,82.56,79.87,80.57,22493446.0
2025-10-21,81.23,82.58,81.03,81.97,20340690.0
2025-10-22,81.34,81.89,80.11,80.88,13743153.0
2025-10-23,80.44,81.09,78.1,79.72,18620075.0
2025-10-24,80.9,83.07,80.6,82.4,27256380.0
2025-10-27,83.68,84.74,82.71,84.74,30212416.0
2025-10-28,86.08,88.72,85.18,86.92,47271496.0
2025-10-29,86.93,88.55,86.5,87.42,28965978.0
2025-10-30,87.42,87.43,85.06,85.13,25525408.0
2025-10-31,85.0,85.13,81.64,81.74,31468681.0
2025-11-03,81.6,83.56,79.29,83.51,32658591.0
2025-11-04,82.83,83.48,80.51,80.99,20928839.0
2025-11-05,79.0,80.3,78.8,79.79,23855778.0
2025-11-06,80.7,82.18,80.2,81.18,22400651.0
2025-11-07,80.02,80.22,78.93,79.18,18999071.0
2025-11-10,79.3,80.35,77.7,78.83,23530445.0
2025-11-11,79.0,79.78,77.23,77.26,17944429.0
2025-11-12,77.0,77.19,75.15,76.02,18507707.0
2025-11-13,76.03,77.59,75.6,77.55,18189536.0
