date,open,high,low,close,volume
2025-06-04,64.45,65.43,64.03,65.12,28811339.0
2025-06-05,65.13,65.21,63.72,64.48,24417831.0
2025-06-06,64.48,64.58,63.7,64.0,20756394.0
2025-06-09,64.39,65.88,63.96,64.8,33232837.0
2025-06-10,64.81,66.32,64.6,64.9,35314261.0
2025-06-11,65.3,65.55,64.72,65.05,25372423.0
2025-06-12,65.06,67.8,64.75,67.71,47755525.0
2025-06-13,67.71,69.94,67.31,68.27,56161546.0
2025-06-16,67.85,69.39,66.6,68.46,32435887.0
2025-06-17,69.0,69.37,66.36,66.5,36580840.0
2025-06-18,66.3,66.99,65.5,65.7,34024258.0
2025-06-19,65.71,66.24,64.5,64.93,25325873.0
2025-06-20,64.98,65.5,64.8,65.27,21099073.0
2025-06-23,64.66,65.43,63.91,65.27,25850252.0
2025-06-24,65.6,66.84,65.6,66.84,29053135.0
2025-06-25,67.2,67.94,66.33,67.81,24862764.0
2025-06-26,67.5,67.5,65.52,65.68,31567730.0
2025-06-27,65.68,66.42,65.32,65.83,19691383.0
2025-06-30,65.72,69.65,65.6,69.55,46834337.0
2025-07-01,69.11,71.39,69.11,70.7,34360885.0
2025-07-02,70.98,71.38,69.96,70.2,21889138.0
2025-07-03,70.2,71.07,69.9,70.72,22708099.0
2025-07-04,70.72,71.65,70.04,70.82,23136591.0
2025-07-07,70.75,70.75,69.22,69.84,21036866.0
2025-07-08,69.63,70.88,69.55,70.4,19888448.0
2025-07-09,69.39,70.98,68.9,69.7,23089854.0
2025-07-10,69.81,71.39,69.81,70.14,29862153.0
2025-07-11,73.5,77.15,73.3,77.15,81113216.0
2025-07-14,77.5,79.52,77.21,78.6,78030080.0
2025-07-15,78.94,80.86,78.94,80.08,45216480.0
2025-07-16,79.66,80.47,78.38,78.81,31624768.0
2025-07-17,78.91,81.49,78.53,81.02,41583700.0
2025-07-18,81.21,83.14,81.21,82.6,41579552.0
2025-07-21,82.61,83.49,80.84,82.76,49675278.0
2025-07-22,82.12,85.93,82.0,82.78,45281369.0
2025-07-23,83.8,85.59,83.3,84.06,48992806.0
2025-07-24,83.66,87.0,83.51,87.0,47977765.0
