date,open,high,low,close,volume
2025-06-04,60.93,61.78,60.72,61.64,9554118.0
2025-06-05,61.47,61.62,61.25,61.35,7129454.0
2025-06-06,61.3,61.95,61.03,61.61,8813267.0
2025-06-09,61.61,61.88,61.33,61.66,7652743.0
2025-06-10,61.66,61.69,60.65,61.16,9840796.0
2025-06-11,61.02,61.77,61.02,61.38,7855676.0
2025-06-12,61.4,61.45,61.06,61.18,6098829.0
2025-06-13,61.2,61.44,60.35,60.4,11822607.0
2025-06-16,60.23,60.6,60.11,60.45,6012787.0
2025-06-17,60.51,60.95,60.5,60.63,6249692.0
2025-06-18,60.61,60.84,60.35,60.66,5981136.0
2025-06-19,60.46,61.15,60.46,60.81,10571309.0
2025-06-20,59.78,61.09,59.5,60.18,15392329.0
2025-06-23,59.87,59.87,58.79,59.71,11036590.0
2025-06-24,59.94,60.89,59.93,60.88,13407471.0
2025-06-25,60.9,61.35,60.51,61.3,13118590.0
2025-06-26,61.0,61.62,60.82,61.1,11960119.0
2025-06-27,61.02,61.32,60.58,60.59,11539508.0
2025-06-30,60.59,61.07,60.57,60.97,9607044.0
2025-07-01,60.96,61.06,60.56,60.61,7504691.0
2025-07-02,60.65,60.92,60.4,60.68,8183723.0
2025-07-03,60.63,60.92,60.47,60.73,7833404.0
2025-07-04,60.75,61.55,60.69,61.03,14378065.0
2025-07-07,60.86,61.03,60.64,60.8,6682688.0
2025-07-08,60.8,61.4,60.66,61.34,11708978.0
2025-07-09,61.25,61.91,61.13,61.18,12918177.0
2025-07-10,61.18,62.5,61.1,61.86,17622374.0
2025-07-11,61.92,62.63,61.74,62.25,18195230.0
2025-07-14,61.99,62.16,61.6,61.6,11374291.0
2025-07-15,61.58,61.66,60.8,61.08,11331411.0
2025-07-16,61.1,61.55,61.0,61.15,7107554.0
2025-07-17,61.22,62.14,61.22,61.65,10385004.0
2025-07-18,61.72,63.2,61.71,62.77,22248395.0
2025-07-21,62.67,64.24,62.41,63.78,21926436.0
2025-07-22,65.0,65.49,63.63,65.43,42648470.0
2025-07-23,66.0,66.68,64.4,64.4,45718366.0
2025-07-24,64.89,70.84,64.89,70.84,71488095.0
2025-07-25,72.22,72.22,67.7,68.05,77990227.0
2025-07-28,67.2,68.45,66.1,66.37,43049725.0
